ΤΙΤΛΟΣ,ΛΟΓΟΚΡΙΣΙΑ,ΚΑΤΗΓΟΡΙΑ,ΥΠΟΚΑΤΗΓΟΡΙΑ,ΠΕΡΙΓΡΑΦΗ,ΑΝΑΠΑΡΑΣΤΑΣΗ,ΠΕΡΙΟΔΟΣ,ΧΡΟΝΟΣ,ΦΥΛΟ,ΕΓΚΑΤΑΣΤΑΣΗ,ΕΤΟΣ,ΔΕΚΑΕΤΙΑ,ΕΙΔΟΣ,ΔΗΜΙΟΥΡΓΟΣ,ΚΑΤΑΓΩΓΗ,ΦΟΡΕΑΣ,ΕΠΙΓΡΑΜΜΑ,ΥΛΙΚΟ,ΥΛΙΚΟ-ΠΕΡΙΓΡΑΦΗ,ΤΟΠΟΘΕΣΙΑ,ΚΑΤΕΥΘΥΝΣΗ,ΤΟΠΟΘΕΣΙΑ,ΕΙΚΟΝΑ,ΜΙΚΡΟΓΡΑΦΙΑ,ΣΥΝΤΕΤΑΓΜΕΝΕΣ
ΚΑΠΕΤΑΝ ΚΩΤΤΑΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Ρίστο Κότε (Κωνσταντίνος - Κώττας Χρήστου) (1863-1905), ήταν οπλαρχηγός και πρωτεργάτης του Μακεδονικού αγώνα στην περιοχή των Κορεστείων.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2001-10-14,2001,2001-2010,προτομή,Δογούλης Νικόλας,Φλώρινα,"Πολιτιστικός Σύλλογος Φίλων ""Καπετάν Κώττας"" & Νομαρχία Φλώρινας","«Είμαι Έλληνας, άπιστοι. Εγγόνι του Μέγα Αλέξανδρου. Εμένα σήμερα σκοτώνετε, αλλά μεγάλο το γένος μου και το γένος μου έρχεται να κάτσει στο ποδάρι μου και να κρατήσει. Μοναστήρι 27 Σεπτεμβρίου 1905»",ορείχαλκος,"Από χαλκό, σε μαρμάρινο βάθρο","Βρίσκεται στα ανατολικά του πάρκου του Διοικητηρίου, με κατεύθυνση προς τα νότια. Στην ίδια αυλή υπάρχει το άγαλμα της Αρκούδας και η προτομή του Κ. Κανάρη.",νότια,πάρκο,http://www.learn4change.gr/files/statues-photos/800px/kotas1.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kotas1.png,"40.78203, 21.40829"
ΚΑΠΕΤΑΝ ΣΟΥΛΙΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,Ο Γεώργιος Σούλιος (1885-1927) ήταν οπλαρχηγός από την περιοχή της Κορυτσάς. Διακρίθηκε για τη συμμετοχή του στον Μακεδονικό και στον Βορειοηπειρωτικό αγώνα. Τον Μάρτιο του 1914 υπήρξε ένας από τους ηγέτες της αποτυχημένης εξέγερσης της Κορυτσάς.,ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1962-08-26,1962,1961-1970,προτομή,Μηνόπουλος Θανάσης,Φλώρινα,"Δήμος Φλώρινας, χρηματοδότηση Μπάγκειος επιτροπή [στην καρτέλα του μνημείου: Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας]","«Ανηγέρθη δαπάναις της δωρεάς του εκ Κορυτσάς εθνικού ευεργέτου Ιωάννου Μ. Μπάγκα, Κορυτσά 1814 - Αθήναι 1895»",ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Κινούμενοι προς τα ανατολικά αμέσως μετά τη συμβολή της Λεωφόρου Κ. Καραμανλή με την Οδό Αριστοτέλους, στην αρχή της πρώτης διαχωριστικής νησίδας αντικρίζουμε την προτομή του Γ. Σούλιου που έχει όψη προς τα δυτικά. Επί της λεωφόρου Κ. Καραμανλή βρίσκονται δύο προτομές μακεδονομάχων, του Ζώη και του Σούλιου, δύο μνημεία, για τη Γενοκτονία των Ποντίων και την Ελληνική Χωροφυλακή και η προτομή του Καστρισιανάκη.",δυτικά,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/soulios.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/soulios.png,"40.781082, 21.399018"
ΚΑΡΑΒΙΤΗΣ ΙΩΑΝΝΗΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Ιωάννης Καραβίτης (1883-1949), γεννημένος στην Ανώπολη των Σφακίων Κρήτης, υπήρξε καπετάνιος επικεφαλής σώματος Κρητών και Μακεδόνων και κατέγραψε στα <i>Απομνημονεύματά</i> του όσα έζησε κατά τον Μακεδονικό αγώνα.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1960-08-28,1960,1951-1960,προτομή,Κανακάκης Ιωάννης,Ρέθυμνο,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,«ΙΩΑΝΝΗΣ ΚΑΡΑΒΙΤΗΣ - ΕΞ ΑΝΩΠΟΛΕΩΣ ΣΦΑΚΙΩΝ ΚΡΗΤΗΣ - ΑΡΧΗΓΟΣ ΜΑΚΕΔΟΝΙΚΟΥ ΑΓΩΝΟΣ 1904-1908»,μάρμαρο,"Από λευκό μάρμαρο, σε μαρμάρινο βάθρο","Βρίσκεται στην τριγωνική νησίδα που σχηματίζουν οι οδοί Μ. Αλεξάνδρου, Κ. Πούλακα και Π. Νερέτης και έχει όψη βόρεια προς την Μ. Αλεξάνδρου.",βόρεια,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/karavitis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/karavitis.png,"40.778529, 21.403168"
ΚΑΣΤΑΝΟΣ ΘΕΟΔΩΡΟΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΕΚΠΑΙΔΕΥΣΗ,"<p>Ο Θεόδωρος Κάστανος, του Ιωάννη και της Αικατερίνης, γεννήθηκε το 1888 στον Βροντάδο της Χίου. Καθώς οι γονείς και τα δυο του αδέλφια μεταναστεύουν στην Αυστραλία για οικονομικούς λόγους, ο Θεόδωρος μεγαλώνει με τη γιαγιά του και την οικογένεια του θείου. Τελειώνει το δημοτικό σχολείο του Βροντάδου το 1897/8 και το Ελληνικό Σχολείο το 1900. Συνεχίζει στο Γυμνάσιο της Χίου, απ’ όπου αποφοιτά το 1905 και στη συνέχεια μεταναστεύει στην Αίγυπτο για δυο περίπου χρόνια. Όταν επιστρέφει, εργάζεται ως δάσκαλος σε δημοτικά σχολεία της Χίου (Παρπαριά και Βίκι) μέχρι το 1912, ενώ μετά την απελευθέρωση της Χίου τον Νοέμβριο του 1912 κατατάσσεται ως εθελοντής στον ελληνικό στρατό και πολεμά στους Βαλκανικούς πολέμους. Κατόπιν λαμβάνει υποτροφία και μεταβαίνει στη Γερμανία για ανώτερες σπουδές: παιδαγωγική και φιλοσοφία στο πανεπιστήμιο της Ιένας (1913-1915), φιλοσοφία, παιδαγωγική και πειραματική ψυχολογία στο πανεπιστήμιο του Βερολίνου (1915-1918). Θα ανακηρυχθεί διδάκτορας φιλοσοφίας τον Νοέμβριο του 1919 και θα επιστρέψει στην Ελλάδα στις αρχές του 1920.</p><p>Τον Σεπτέμβριο του 1920 διορίζεται καθηγητής Παιδαγωγικών στο Διδασκαλείο Θηλέων Θεσσαλονίκης και την επόμενη χρονιά αναλαμβάνει τη θέση του διευθυντή στα Αρχιγένεια Εκπαιδευτήρια των Επιβατών της Ανατολικής Θράκης. Τον Σεπτέμβριο του 1922 συγχωνεύει και διευθύνει τα Αρχιγένεια Εκπαιδευτήρια και το Ζάππειο Ανώτερο Παρθεναγωγείο Αδριανουπόλεως με έδρα την Παλαιά Ορεστιάδα. Στη συνέχεια, μεταφέρει τα δύο εκπαιδευτικά ιδρύματα στην Αλεξανδρούπολη, όπου το 1923, μετά από προσωπικό του αγώνα, ιδρύεται το Διδασκαλείο Αλεξανδρούπολης το οποίο διευθύνει ως το 1925. Κατόπιν υπηρετεί ως διευθυντής στα Μονοτάξια Διδασκαλεία Καστοριάς (1925-1927) και Καρπενησίου (1927-1929) και το 1929 μετατίθεται στο Διδασκαλείο της Φλώρινας, όπου αρχικά υπηρετεί ως διευθυντής και κατόπιν ως υποδιευθυντής.</p><p>Στη Φλώρινα θα κορυφωθεί το εκπαιδευτικό του έργο, τόσο στο Διδασκαλείο και στα προσαρτημένα σε αυτό Πρότυπα Δημοτικά Σχολεία, όσο και με τη συμμετοχή του στα τοπικά εκπαιδευτικά συνέδρια της δημοτικής εκπαίδευσης, τη συνεργασία του με τους δασκάλους των σχολείων, τα άρθρα και τα δυο του βιβλία, Το Σχολείο Εργασίας στη θεωρία και στην πράξη (1929) και Η Απολογία του Σχολείου Εργασίας (1931), καθώς και με την έκδοση του περιοδικού Σχολείο Εργασίας. Εκτός από τη δράση του στα εκπαιδευτικά πράγματα, θα αναλάβει πρωτοβουλία για τη διάδοση των αθλημάτων της αντισφαίρισης (τένις) και της επιτραπέζιας αντισφαίρισης (πινγκ-πονγκ). Θα αναπτύξει φιλίες, όπως με τον Γιάννη Καλαϊτζίδη, δάσκαλο και κάτοικο Κάτω Κλεινών, συνεργάτη του στην έκδοση του περιοδικού και θα κάνει κουμπαριά με τον δάσκαλο της Βεύης Ιωάννη Κακαβά βαφτίζοντας τον γιο του.</p><p>Το μεταρρυθμιστικό εκπαιδευτικό του έργο, βασισμένο στις αρχές του εκπαιδευτικού δημοτικισμού και της Νέας Αγωγής, θα προκαλέσει την αντίδραση των αδρανών εκπαιδευτικών δυνάμεων. Θα του προσάψουν τις κατηγορίες του άθεου, του κομμουνιστή, του ανήθικου, του αντεθνικού και του «μαλλιαρού». Ο Κάστανος θα συνεχίσει να απαντά με το έργο του, αλλά το ψυχοσυναισθηματικό βάρος θα τον οδηγήσει στον θάνατο στις 12 Φεβρουαρίου 1932. Τάφηκε στο κοιμητήριο του Αγίου Γεωργίου της Φλώρινας.</p>",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2016-03-01,2016,2011-2020,προτομή,Τσώτσος Χρήστος,Φλώρινα,5ο Δημοτικό Σχολείο Φλώρινας,,ορείχαλκος,,"Η προτομή είναι τοποθετημένη εσωτερικά, στον διάδρομο του 5ου Δημοτικού Σχολείου Φλώρινας και κοιτάζει νότια.",νότια,εσωτερικός χώρος,http://www.learn4change.gr/files/statues-photos/800px/kastanos.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kastanos.png,"40.778655, 21.392813"
ΚΑΣΤΡΙΣΙΑΝΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ,ψυχρό,ΕΝΟΠΛΗ ΒΙΑ,ΕΜΦΥΛΙΟΣ ΠΟΛΕΜΟΣ,"Ο Χαράλαμπος Καστρισιανάκης ήταν αξιωματικός του Εθνικού Στρατού. Τον Φεβρουάριο του 1949 ήρθε στη Φλώρινα όπου γίνονταν μάχες μεταξύ του Εθνικού Στρατού και του Δημοκρατικού Στρατού Ελλάδας (Δ.Σ.Ε.). Ο Καστρισιανάκης έπεσε στο ύψωμα 1033, του οποίου την υπεράσπιση είχε αναλάβει στις 12 Φεβρουαρίου του 1949. Μετά θάνατον, προήχθη στον βαθμό του Λοχαγού.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1975-07-01,1975,1971-1980,προτομή,Αντωνόπουλος Βασίλειος,Φλώρινα,Γενικό Επιτελείο Στρατού,«ΧΑΡΑΛ. Κ. ΚΑΣΤΡΙΣΙΑΝΑΚΗΣ ΕΠΕΣΕΝ ΕΙΣ ΤΗΝ ΜΑΧΗΝ ΦΛΩΡΙΝΗΣ ΗΡΩΙΚΩΣ ΥΠΕΡΑΣΠΙΣΑΣ ΤΟ ΥΨΩΜΑ 1033 ΚΑΤΑ ΤΩΝ ΕΠΙΔΡΟΜΕΩΝ ΤΟΥ ΕΘΝΟΥΣ ΤΗΝ 12-2-1949»,ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Βρίσκεται  στην κορυφή της τριγωνικής νησίδας που σχηματίζεται από τις λεωφόρους Κ. Καραμανλή και Μακεδονομάχων και την Οδό Γυμναστηρίου, και κοιτάζει ανατολικά. Επί της λεωφόρου Κ. Καραμανλή βρίσκονται, επίσης, δύο προτομές μακεδονομάχων, του Ζώη και του Σούλιου, δύο μνημεία, για τη Γενοκτονία των Ποντίων και την Ελληνική Χωροφυλακή.",ανατολικά,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/kastrisianakis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kastrisianakis.png,"40.783263, 21.410656 "
ΚΟΝΤΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΓΕΩΠΟΝΙΑ,"Ο Ιωάννης Κοντόπουλος (1890-1929) γεννήθηκε στο χωριό Βίτσα Ιωαννίνων, σπούδασε γεωπονία και υπηρέτησε ως νομογεωπόνος στη Φλώρινα από το 1922. Ίδρυσε τον Δενδροκομικό Σταθμό, που αργότερα εξελίχθηκε σε Γεωργική Σχολή. ",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1968-07-01,1968,1961-1970,προτομή,Καλαμάρας Δημήτρης,Φλώρινα,Γεωπονικός Σύλλογος Μακεδονίας-Θράκης,"«Ο Γεωπονικός Σύλλογος Μακεδονίας Θράκης εις τον πρωτεργάτην της μακεδονικής δενδροκομίας Ιωάννην Κοντόπουλον, 1891-1929»",ορείχαλκος,"Μπρούντζινη, σε μαρμάρινο βάθρο [στην καρτέλα αλλού γράφει μπρούντζος κι αλλού ορείχαλκος]",Βρίσκεται στον αύλειο χώρο κτιρίων της Σχολής Γεωπονικών Επιστημών και κοιτάζει προς τα δυτικά.,δυτικά,αυλή,http://www.learn4change.gr/files/statues-photos/800px/kontopoulos.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kontopoulos.png,"40.778389, 21.3889"
ΚΟΝΤΡΑΛΤΟ,θερμό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΦΥΣΗ,"Η αρκούδα με το κοντραμπάσο. Έργο του Φλωρινιώτη Γιώργου Μπαρδάκα, στο πλαίσιο της πτυχιακής του εργασίας στο εργαστήριο γλυπτικής του τμήματος Εικαστικών και Εφαρμοσμένων Τεχνών. Οι διαστάσεις του έργου είναι: 3,10m. x 1,90m. x 5,15m. Για την κατασκευή χρησιμοποιήθηκαν μεταξύ άλλων 2.310 κ. παλιοσίδερα (scrap), λαμαρίνες, ράβδοι, ελάσματα, μπίλιες ρουλεμάν, συρματόσχοινα, σφιγκτήρες χαλκού, μαγνήτες, μεντεσέδες πόρτας, γωνίες, δοκοί κ.ά.",συμβολική,Διαρκής,Διαρκής,χωρίς φύλο,2015-07-01,2015,2011-2020,άγαλμα,Μπαρδάκας Γιώργος,Φλώρινα,Δωρεά του καλλιτέχνη στον Δήμο Φλώρινας,-,σίδηρος,"Από παλιοσίδερα (scrap), λαμαρίνες και διάφορα μεταλλικά αντικείμενα",Βρίσκεται στην πλατεία Μεγάλου Αλεξάνδρου (Κύκλος) στην είσοδο της πόλης. Κοιτάζει ανατολικά. Στην ίδια Πλατεία βρίσκεται η προτομή του Ε. Βενιζέλου και μια Επιτύμβια Στήλη της Ρωμαϊκής εποχής.,ανατολικά,πλατεία,http://www.learn4change.gr/files/statues-photos/800px/kontralto.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kontralto.png,"40.783007, 21.414016"
ΚΟΥΛΗΣ ΣΤΕΡΙΚΑΣ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΖΩΓΡΑΦΙΚΗ,"Ο ζωγράφος Στέργιος (Στερίκας) Κούλης (1921-1995) γεννήθηκε στην Κορυτσά και το 1922 ήρθε με την οικογένειά του στη Φλώρινα. Σπούδασε φιλοσοφία και παιδαγωγικά. Κατά τη διάρκεια της Κατοχής συμμετείχε στην Εθνική Αντίσταση. Εκτός από τη ζωγραφική, ασχολήθηκε με την ποίηση, το θέατρο, τη σκηνογραφία και τη σκηνοθεσία. Ιδρυτικό μέλος και πρόεδρος της Στέγης Φιλοτέχνων Φλώρινας.",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,2001-07-01,2001,2001-2010,προτομή,Δογούλης Νικόλας,Φλώρινα,Οικογένεια Κούλη,,ορείχαλκος,,"Βρίσκεται έξω από το σπίτι που έμενε, παραποτάμια, στην Οδό Α. Καντιώτη. Κοιτάζει νότια.",νότια,αυλή,http://www.learn4change.gr/files/statues-photos/800px/sterikas_koulis.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/sterikas_koulis.png,"40.778226, 21.408191"
ΚΩΤΤΑΣ ΠΡΩΤΟΣ ΜΑΚΕΔΟΝΟΜΑΧΟΣ,θερμό,ΕΝΟΠΛΗ ΒΙΑ,ΜΑΚΕΔΟΝΙΚΟΣ ΑΓΩΝΑΣ,"Ο Ρίστο Κότε (Κωνσταντίνος - Κώττας Χρήστου) (1863-1905), ήταν οπλαρχηγός και πρωτεργάτης του Μακεδονικού αγώνα στην περιοχή των Κορεστείων.<br> Ο ανδριάντας τοποθετήθηκε αρχικά (1961) στις νησίδες της Οδού Ιωάννου Άρτη, στο ύψος του πάρκου του Σιδηροδρομικού Σταθμού. Το 1993-1994 αφαιρέθηκε από την αρχική του θέση και μεταφέρθηκε στις αποθήκες του Δήμου Φλώρινας. Τοποθετήθηκε στην τωρινή του θέση στις αρχές του 2002.",συμβολική,Νεότερη,20ός αι.,άνδρας,2006-07-01,2006,2001-2010,ανδριάντας,Καλαμάρας Δημήτρης,Φλώρινα,Ερανική Επιτροπή Ανεγέρσεως Προτομών και Ανδριάντων Ν. Φλώρινας,«Κώττας Πρώτος Μακεδονομάχος»,χαλκός,"Από χαλκό, σε μαρμάρινο βάθρο","Βρίσκεται στο νοτιοδυτικό άκρο του Νέου Πάρκου, μαζί με το άγαλμα του Θνήσκοντα Πολεμιστή. Αρχικά, το 1961 είχε τοποθετηθεί στη νησίδα της Οδού Ι. Άρτη, το 1993 μετακινήθηκε, βρέθηκε στις αποθήκες του Δήμου και το 2002 τοποθετήθηκε στο Νέο Πάρκο.",νότια,πάρκο,http://www.learn4change.gr/files/statues-photos/800px/kotas2.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/kotas2.png,"40.781464, 21.409124"
ΜΑΚΡΗΣ ΔΗΜΗΤΡΙΟΣ,ψυχρό,ΠΟΛΙΤΙΚΗ,ΥΠΟΥΡΓΟΣ,"Ο Δημήτριος (Τάκος) Μακρής (1910-1981) γεννήθηκε στο Μοναστήρι και σε μικρή ηλικία ήρθε στη Φλώρινα. Σπούδασε νομικά και άσκησε το δικηγορικό επάγγελμα στη Θεσσαλονίκη. Εκλέχθηκε βουλευτής Φλώρινας με την Ε.Ρ.Ε. από το 1956 έως το 1967 και από το 1974 έως το 1977. Διετέλεσε υπουργός Εσωτερικών (1956-1961), υπουργός Προεδρίας της Κυβερνήσεως (1961-1963).",ρεαλιστική,Νεότερη,20ός αι.,άνδρας,1993-07-01,1993,1991-2000,προτομή,Αντωνιάδης Ιωάννης,Φλώρινα,Δήμος Φλώρινας,"«Δημήτριος Κ. Μακρής, Βουλευτής Φλωρίνης, Υπουργός Εσωτερικών - Προεδρίας, 1956-1963». Σε δεύτερη επιγραφή πάνω στο βάθρο αναγράφονται οι στίχοι: ""Πάντα ανοιχτά, πάντ' άγροιπνα, τα μάτια της ψυχής μου. Διον. Σολωμός"".",ορείχαλκος,"Ορειχάλκινη, σε μαρμάρινο βάθρο","Βρίσκεται στη νησίδα της οδού Σιδ. Σταθμού, μπροστά από την πόρτα του Αρχαιολογικού Μουσείου. Κοιτάζει βόρεια.",βόρεια,νησίδα,http://www.learn4change.gr/files/statues-photos/800px/makris.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/makris.png,"40.78112, 21.413729"
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ 1,ψυχρό,ΠΟΛΙΤΙΚΗ,ΒΑΣΙΛΙΑΣ,"Ο Μέγας Αλέξανδρος (Αρχαία Πέλλα, Ιούλιος 356 π.Χ. - Βαβυλώνα, 10 Ιουνίου 323 π.Χ.), κοινώς γνωστός ως Αλέξανδρος ο Μέγας ή Αλέξανδρος Γ΄ ο Μακεδών, ήταν Έλληνας Βασιλεύς του Βασιλείου της Μακεδονίας, αυτοκράτορας της Μακεδονικής αυτοκρατορίας (μετά την εκστρατεία του) και μέλος της δυναστείας των Αργεαδών. Ήταν ο ηγεμόνας της Πανελλήνιας Συμμαχίας κατά της Αχαιμενιδικής αυτοκρατορίας. Οι κατακτήσεις αποτέλεσαν τον θεμέλιο λίθο της Ελληνιστικής εποχής των βασιλείων των Διαδόχων και Επιγόνων του.",ρεαλιστική,Κλασική,4ος αι. π.Χ.,άνδρας,1969-07-01,1969,1961-1970,προτομή,Αντίγραφο,Άγνωστη,,,ορείχαλκος,,"Βρίσκεται στο φουαγέ του Πολιτιστικού Κέντρου Φλώρινας, απέναντι από την είσοδο και αριστερά του ανάγλυφου που απεικονίζει τον Αριστοτέλη να διδάσκει τον Μέγα Αλέξαντρο.",νότια,εσωτερικός χώρος,http://www.learn4change.gr/files/statues-photos/800px/malexandros1.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/malexandros1.png,"40.78449473203348, 21.40615354484291"
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ 2,ψυχρό,ΠΟΛΙΤΙΚΗ,ΒΑΣΙΛΙΑΣ,"Η τοιχογραφία απεικονίζει τον Μέγα Αλέξανδρο καβάλα στον Βουκεφάλα να εφορμά κατά του Δαρείου στη Μάχη της Ισσού. Είναι λεπτομέρεια από το περίφημο ψηφιδωτό του 2ου αιώνα π.Χ. που βρέθηκε στην «Οικία του Φαύνου» στην Πομπηία.
Περιμετρικά υπάρχει συνεχόμενη γεωμετρική διακόσμηση με επαναλαμβανόμενο μοτίβο μαίανδρου. Ο μαίανδρος συνδέεται άμεσα με την αρχαία ελληνική διακοσμητική παράδοση και ενισχύει το συνολικό μήνυμα της τοιχογραφίας, που βασίζεται σε ιστορικά και εθνικά σύμβολα.",ρεαλιστική,Κλασική,4ος αι. π.Χ.,άνδρας,2021-07-15,2021,2021-2030,αναθηματικός τοίχος,"Daniela Nikolova – Σιδηροπούλου, Ελένη Σιδηροπούλου","Σόφια, Πτολεμαΐδα",Δήμος Φλώρινας,«ΑΛΕΞΑΝΔΡΟΣ Γ' Ο ΜΕΓΑΣ | 356-323 Π.Χ. | ΤΩ ΚΡΑΤΙΣΤΩ»,λαδομπογιά,Τοιχογραφία,Βρίσκεται στην είσοδο του Δημοτικού Αθλητικού Κέντρου (Δ.Α.Κ.) Φλώρινας.,δυτικά,κτίριο,http://www.learn4change.gr/files/statues-photos/800px/malexandros.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/malexandros.png,"40.80287962448139, 21.426443199195084"
«ΕΣΤΙΝ ΟΥΝ ΕΛΛΑΣ ΚΑΙ Η ΜΑΚΕΔΟΝΙΑ»,ψυχρό,ΕΝΝΟΙΕΣ,ΕΘΝΙΚΗ ΤΑΥΤΟΤΗΤΑ,"Η τοιχογραφία απεικονίζει μια ασπίδα με τον ήλιο της Βεργίνας και τη φράση «Εστίν ουν Ελλάς και η Μακεδονία» στο κυκλικό κάτω μέρος της. Η ίδια φράση επαναλαμβάνεται εκτός ασπίδας, στο φόντο της τοιχογραφίας. Το φόντο είναι έντονο πορτοκαλί - κίτρινο με σημεία φωτεινής έντασης στην περίμετρο της ασπίδας.
Περιμετρικά υπάρχει συνεχόμενη γεωμετρική διακόσμηση με επαναλαμβανόμενο μοτίβο μαίανδρου. Ο μαίανδρος συνδέεται άμεσα με την αρχαία ελληνική διακοσμητική παράδοση και ενισχύει το συνολικό μήνυμα της τοιχογραφίας, που βασίζεται σε ιστορικά και εθνικά σύμβολα.",ρεαλιστική,Κλασική,4ος αι. π.Χ.,χωρίς φύλο,2023-04-15,2023,2021-2030,αναθηματικός τοίχος,Daniela Nikolova – Σιδηροπούλου,"Σόφια, Πτολεμαΐδα",Δήμος Φλώρινας,«ΕΣΤΙΝ ΟΥΝ ΕΛΛΑΣ ΚΑΙ Η ΜΑΚΕΔΟΝΙΑ »,λαδομπογιά,Τοιχογραφία,Βρίσκεται στη βορεινή όψη του Δημοτικού Αθλητικού Κέντρου (Δ.Α.Κ.) Φλώρινας.,βόρεια,κτίριο,http://www.learn4change.gr/files/statues-photos/800px/aspida_dak.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/aspida_dak.png,"40.803086263985534, 21.426236565359968"
«ΝΟΥΣ ΥΓΙΗΣ ΕΝ ΣΩΜΑΤΙ ΥΓΙΕΙ»,ψυχρό,ΕΝΝΟΙΕΣ,ΑΘΛΗΤΙΣΜΟΣ,"Η τοιχογραφία παραπέμπει σε παραστάσεις αθλητικών αγώνων από την αρχαία ελληνική αγγειογραφία. Απεικονίζονται πέντε μελανόμορφοι δρομείς και στο κίτρινο - πορτοκαλί φόντο ένα δάφνινο στεφάνι. Στο κάτω μέρος υπάρχει η επιγραφή «Νους υγιής εν σώματι υγιεί».
Περιμετρικά υπάρχει συνεχόμενη γεωμετρική διακόσμηση με επαναλαμβανόμενο μοτίβο μαίανδρου. Ο μαίανδρος συνδέεται άμεσα με την αρχαία ελληνική διακοσμητική παράδοση και ενισχύει το συνολικό μήνυμα της τοιχογραφίας, που βασίζεται σε ιστορικά και εθνικά σύμβολα.""",ρεαλιστική,Κλασική,4ος αι. π.Χ.,χωρίς φύλο,2023-04-15,2023,2021-2030,αναθηματικός τοίχος,Daniela Nikolova – Σιδηροπούλου,"Σόφια, Πτολεμαΐδα",Δήμος Φλώρινας,«ΝΟΥΣ ΥΓΙΗΣ ΕΝ ΣΩΜΑΤΙ ΥΓΙΕΙ»,λαδομπογιά,Τοιχογραφία,Βρίσκεται στη βορεινή όψη του Δημοτικού Αθλητικού Κέντρου (Δ.Α.Κ.) Φλώρινας.,βόρεια,κτίριο,http://www.learn4change.gr/files/statues-photos/800px/athlitismos_dak.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/athlitismos_dak.png,"40.80303591583413, 21.426219481016446"
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ ΔΙΔΑΣΚΕΤΑΙ ΑΠΟ ΤΟΝ ΑΡΙΣΤΟΤΕΛΗ,ψυχρό,ΕΠΙΣΤΗΜΕΣ-ΠΟΛΙΤΙΣΜΟΣ-ΤΕΧΝΕΣ,ΕΚΠΑΙΔΕΥΣΗ,Ο Μέγας Αλέξανδρος Διδάσκεται από τον Αριστοτέλη,ρεαλιστική,Κλασική,4ος αι. π.Χ.,άνδρας,1969-07-01,1969,1961-1970,αναθηματικός τοίχος,Δογούλης Νικόλας,Φλώρινα,,«Ο ΑΡΙΣΤΟΤΕΛΗΣ ΔΙΔΑΣΚΩΝ ΤΟΝ ΜΕΓΑΝ ΑΛΕΞΑΝΔΡΟΝ»,μάρμαρο,,"Βρίσκεται στο φουαγέ του Πολιτιστικού Κέντρου Φλώρινας, απέναντι από την είσοδο.",νότια,εσωτερικός χώρος,http://www.learn4change.gr/files/statues-photos/800px/malexandros2.jpg,http://www.learn4change.gr/files/statues-photos/thumbnails/malexandros2.png,"40.7845013557843, 21.406190106705406"
